gene,year,Pvalue,r2
Pc14,-1.4164,1.18E-05,0.5102
Pc35,-0.8269,0.018,0.1662
Pc36,1.6827,5.50E-07,0.611
Pc38,1.9261,2.48E-08,0.6922
Pc39,1.9389,2.12E-08,0.6959
Pc40,-1.2924,2.71E-05,0.479
Pc45,2.5543,2.18E-09,0.7441
Pc46,1.2551,0.000147,0.4095
Pc48,2.3735,2.00E-07,0.6396
Pc50,-0.5824,0.000604,0.345
Pc51,1.1635,9.26E-07,0.5954
Pc52,2.5017,2.49E-08,0.6921
Pc53,2.767,2.51E-06,0.5639
Pc54,0.06641,0.758,-0.03461
Pc55,1.9181,2.91E-08,0.6884
Pc56,1.7878,1.15E-07,0.6543
Pc57,2.284,1.24E-08,0.7081
Pc58,-0.2082,0.235,0.01744
Pc59,1.4809,1.32E-08,0.7066
Pc60,0.1619,0.566,-0.02515
Pc61,0.1032,0.764,-0.03481
Pc62,0.3659,0.195,0.02768
Pc63,2.2592,3.55E-08,0.6837
Pc64,0.2339,0.415,-0.01172
Pc67,1.1182,0.0103,0.1976
Pc68,2.7364,2.33E-09,0.7428
Pc70,1.3209,0.000171,0.4029
Pc71,1.9942,3.65E-09,0.7339
Pc91,5.40E+00,8.75E-08,0.8696
Pc94,5.20E-01,1.30E-01,0.09585
Pc96,0.5969,0.44,-0.02508
H548,0.3523,0.0585,0.09751
IAB605Xsel.,3.8364,1.49E-07,0.8595
WIX4361.9,1.1796,0.0221,0.2726
TAM.O.405,0.4726,0.466,-0.03017
Belle,0.4539,0.709,-0.09309
HiFi,6.85E+00,8.97E-06,0.8877
Leggett,1.2091,0.0259,0.3785
Stainless,0.2849,0.798,-0.1026
MARVELOUS,0.009308,0.278,0.008383
